name,primary_category,secondary_categories,town,address,phone,email,website,source,source_url,confidence,notes,county,local_area,service_area_notes
Robert Jordan Construction Ltd,General Contractor,Construction,Morrisburg,"12094 Julia St RR 1, Morrisburg, ON K0C 1X0",613-543-3563,,,Canpages; YellowPages,https://alb.canpages.ca/entreprises/ON/morrisburg/entrepreneurs/3472-2126T0.html,Medium,Found in contractor directory results; verify active status.,Dundas,South Dundas,Local town pin only
Ivan's Cement Floors Plcng,Concrete,Cement floors; general contractor,Morrisburg,"12875 Crowder Rd, Morrisburg, ON K0C 1X0",613-543-2106,,,Canpages; YellowPages,https://alb.canpages.ca/entreprises/ON/morrisburg/entrepreneurs/3472-2126T0.html,Medium,Found in contractor directory results; verify active status and spelling.,Dundas,South Dundas,Local town pin only
Ault Frank Excavating Ltd,Excavation,Excavating contractor,Iroquois,"10721 South Branch Rd, Iroquois, ON K0E 1C0",613-652-4858,,,YellowPages,https://www.yellowpages.ca/search/si/1/General%2BContractors/Williamsburg%2BON,Medium,Found via YellowPages; verify active status and service area.,Dundas,South Dundas,Local town pin only
Swank Construction Ltd,General Contractor,Building contractor,Iroquois,"10781 Highway 2, Iroquois, ON K0E 1K0",613-652-2392,,,YellowPages,https://www.yellowpages.ca/search/si/1/General%2BContractors/Williamsburg%2BON,Medium,Found via YellowPages; source shows website available but not captured.,Dundas,South Dundas,Local town pin only
Cassell Roofing,Roofing,Roofing contractor,Morrisburg,"12467 County Rd 2, Morrisburg, ON K0C 1X0",613-543-4099,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/locations/morrisburg/,Medium,Only roofing listing surfaced in Shop South Dundas contractor counts.,Dundas,South Dundas,Local town pin only
Joey Derouchie Lawn Maintenance & Snow Plowing,Landscaping,Snow plowing; lawn maintenance,Morrisburg,"9 Morningside Crt, Morrisburg, ON K0C 1X0",613-543-3360,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/listing/joey-derouchie-lawn-maintenance-snow-plowing/,Medium,Good example of rural service profile; verify seasonal capacity.,Dundas,South Dundas,Local town pin only
Kelly's Home Repair & Maintenance,Home Repair,Handyman; property maintenance,Brinston,"10721 South Branch Rd, Brinston, ON K0E 1C0",613-341-1141,kellysrepairmaintenance@gmail.com,,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,High,Strong side-gig/small-service fit; should be invited to claim early.,Dundas,South Dundas,Local town pin only
KY's Mobile Washing Limited,Pressure Washing,Mobile washing; exterior cleaning,Morrisburg,"48 Prospect Rd Unit 1, Morrisburg, ON K0C 1X0",613-662-5194,kysmobilewash@gmail.com,https://www.kysmobilewashltd.com,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,High,Clear fit for property services; also mentioned in local news helping repair vandalism damage.,Dundas,South Dundas,Local town pin only
McKee Painting & Cleaning,Painting,Cleaning,Iroquois,"10689 English Rd, Iroquois, ON K0E 1K0",613-652-1844,,,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,High,Good local home-service listing; needs website/social if any.,Dundas,South Dundas,Local town pin only
Merkley Energy Solutions,Energy Solutions,Heating; cooling; energy service; fireplaces/woodstoves likely,Iroquois,"8 Bouck St, Iroquois, ON K0E 1K0",613-652-2191,stevemerkleyenergy@gmail.ca,https://www.merkleyenergysolutions.ca,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,High,Verify email domain in source before publishing.,Dundas,South Dundas,Local town pin only
Eastern Ontario Millwright Inc.,Millwright,Industrial service; machining; maintenance,Morrisburg,"30 Prospect Rd, Morrisburg, ON K0C 1X0",613-543-3730,east1@bellnet.ca,https://www.eomillwrighting.com,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,High,Industrial/trade listing; less residential but useful for rural/agri users.,Dundas,South Dundas,Local town pin only
Discreet Pest Control,Pest Control,Residential; commercial; pest removal,South Dundas area,,613-551-7597,shawn@discretecontrol.com,https://www.discreetcontrol.com,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,Medium,Chamber lists this; verify spelling of business name and website/email mismatch.,Dundas,South Dundas,Local town pin only
Enviro-Guard Plus,Pest Control,Residential; commercial; agricultural; institutional,Eastern Ontario,,613-342-6251,,https://www.enviroguardplus.ca,Company website; municipal recurring services,https://www.enviroguardplus.ca/,High,Website explicitly lists Morrisburg and Winchester in service areas.,Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Z.R. Waste Removal,Waste Removal,Junk removal; hauling,Brinston,"10774 Kirker Rd, Brinston, ON",613-403-1230,zach-rumohr@outlook.com,,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,High,Good small-service/local-helper profile; likely early claim candidate.,Dundas,South Dundas,Local town pin only
Seasonal Plus Inc.,Landscaping,Seasonal property service; likely lawn/snow,Ingleside,"83 St. Lawrence St, Ingleside, ON",613-537-9493,cperry8@cogeco.ca,https://www.seasonalplus.com,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,Medium,Regional provider; verify South Dundas service area.,Stormont,South Stormont,Local town pin only
Clear Cut Installation Inc.,Installation,Trades installation; construction-related,South Mountain,"10616 Main St, South Mountain, ON K0E 1W0",613-989-2367,steve@clearcutinstallations.com,https://www.clearcutinstallations.com,South Dundas Chamber,https://www.southdundaschamber.ca/business-directory/trades/,Medium,"Nearby, not South Dundas; include if confirmed to serve South Dundas.",Dundas,North Dundas,Local town pin only
Thompson Tim-Br Mart,Building Supplies,Home improvement supplies; lumber,Iroquois,"39 Dundas St, Iroquois, ON K0E 1K0",613-652-2500,james.thompson@timbermart.ca,https://www.timbrmart.ca,South Dundas Chamber; Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/listing/thompson-timber-mart/,High,Useful supplier profile for trades/home projects.,Dundas,South Dundas,Local town pin only
Emard Bros. Lumber,Building Supplies,Home and garden; housewares,Morrisburg,"12455 County Rd 2, Morrisburg, ON K0C 1X0",613-543-2009,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/retail/,High,Supplier profile; relevant to home/project directory.,Dundas,South Dundas,Local town pin only
Morrisburg Home Hardware,Building Supplies,Home and garden; hardware,Morrisburg,"12415 County Rd 2, Morrisburg, ON K0C 1X0",613-543-2021,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/retail/,High,Supplier profile; useful for resident project searches.,Dundas,South Dundas,Local town pin only
Canadian Tire Associate Store,Building Supplies,Outdoor equipment; home and garden; retail,Morrisburg,"12329 County Rd 2, Morrisburg, ON K0C 1X0",613-543-3015,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/retail/,High,Supplier profile; not a service provider but relevant to home/property category.,Dundas,South Dundas,Local town pin only
Eastern Engines Inc.,Outdoor Power Equipment,Small engine service; mower/outdoor equipment repair,Williamsburg,"4301 County Rd 31, Williamsburg, ON K0C 2H0",613-535-2488,service@easternengines.com,https://www.easternengines.com,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/listing/eastern-engines-inc/,High,"Excellent rural service fit: mower, chainsaw and outdoor equipment repair.",Dundas,South Dundas,Local town pin only
Murphy's Sales & Service,Farm Equipment,Water treatment; farm equipment sales and service,Brinston,"4147 Brinston Rd, Brinston, ON K0E 1C0",613-652-4802,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/farm-equipment/,Medium,Good rural/agri profile; verify water treatment service details.,Dundas,South Dundas,Local town pin only
Advanced Grain Handling Systems Inc.,Farm Equipment,Grain handling systems; agricultural equipment,Brinston,"4124 County Rd 16, Brinston, ON K0E 1C0",613-652-1010,,https://www.aghs.ca,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/listing/advanced-grain-handling-systems-inc/,High,Strong rural/agri trade profile.,Dundas,South Dundas,Local town pin only
Dundas Agri-Systems,Farm Equipment,Agricultural systems; farm equipment sales and service,Brinston,"11225 Henderson Rd, Brinston, ON K0E 1C0",613-652-4844,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/farm-equipment/,Medium,Good rural/agri profile; verify website and current services.,Dundas,South Dundas,Local town pin only
D&S Manufacturing,Farm Equipment,Manufacturer; farm equipment sales and service,Iroquois,"5087 County Rd 1, Iroquois, ON K0E 1K0",613-652-4025,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/farm-equipment/,Medium,Rural/agri profile; likely useful but verify consumer-facing service.,Dundas,South Dundas,Local town pin only
HW Supplies,Farm Equipment,Parts and service,Iroquois,"4720 Carman Rd RR 2, Iroquois, ON K0E 1K0",613-652-4055,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/farm-equipment/,Medium,Rural/agri supplies and service; verify categories.,Dundas,South Dundas,Local town pin only
CD Jabbco Sales Ltd.,Parts and Service,Logistics; trucking; recreational vehicles; lawn mowers,Iroquois,"5547 Carman Rd, Iroquois, ON K0E 1K0",613-652-2000,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/automotive/,Medium,Could fit equipment repair/lawn mower service; verify exact offerings.,Dundas,South Dundas,Local town pin only
Bill's Towing,Towing,Vehicle towing; roadside support,Morrisburg,"5522 Muttonville Rd, Morrisburg, ON K0C 1X0",613-802-0729,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/automotive/,High,Local emergency service; useful category even if not home trades.,Dundas,South Dundas,Local town pin only
Barn Owl Tree Services,Tree Service,Tree removal; stump grinding; barn removal; lot cleanup,Kemptville,"Kemptville, ON K0G 1J0",613-258-7940,,https://www.barnowltreeservices.com,Company website; municipal recurring services,https://www.barnowltreeservices.com/,High,Regional provider; municipal recurring services source includes them for tree trimming.,Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Logtens Tree Service Ltd,Tree Service,Tree removal; pruning; stump removal; bucket truck; lot clearing,Berwick,"14182 Manley Rd, Finch, ON",613-984-0743,,,North Stormont directory; municipal recurring services,https://www.northstormont.ca/business-development/business-directory/logtens-tree-service,Medium,Regional tree service; should be included if service area confirmed.,Stormont,North Stormont,Local town pin only
Rideau Bulk,Logistics,Storage; trucking; bulk transport,Morrisburg,"11610 County Rd 2, Morrisburg, ON K0C 1X0",613-652-2503,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/transportation/,Medium,Potential rural service category; verify consumer/business service use case.,Dundas,South Dundas,Local town pin only
Ron McMillan Transport,Logistics,Transport; storage; boat transport,Morrisburg,"11711 County Rd 2, Morrisburg, ON K0C 1X0",613-543-3028,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/transportation/,Medium,Potential rural service category; verify service details.,Dundas,South Dundas,Local town pin only
Snap Trucking,Logistics,Trucking,Iroquois,"11471 Zeron Rd, Iroquois, ON K0E 1K0",613-652-1123,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/transportation/,Medium,Potential business/agri service; verify target customer.,Dundas,South Dundas,Local town pin only
Harland Veinotte Ltd.,Logistics,Trucking,Morrisburg,"37 Prospect Rd, Morrisburg, ON K0C 1X0",613-543-3753,,,Shop South Dundas,https://shopsouthdundas.com/directory-southdundas/categories/transportation/,Medium,Potential rural/business service; verify active status and service details.,Dundas,South Dundas,Local town pin only
Barry Latreille Electric,Electrical,Electricians & Electrical Contractors,Long Sault,"15892 Manning Rd, Long Sault, ON K0C 1P0",613-550-0550,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 26.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Long-Sault/Barry-Latreille-Electric/4254688.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Beehler N Electric Ltd,Electrical,Electricians & Electrical Contractors,Berwick,"17 Beaver Street, Berwick, ON K0C 1G0",1-844-738-0996,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 31.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Berwick/Beehler-N-Electric-Ltd/2943387.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,North Stormont,Local town pin only
Countryman Electric Limited,Electrical,Electricians & Electrical Contractors,Chesterville,"13592 County Rd 43, Chesterville, ON K0C 1H0",613-448-2474,sales@countrymanelectric.com,https://www.countrymanelectric.com,YellowPages.ca; North Dundas municipal business directory,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON; https://www.northdundas.com/business-development/economic-development/business-directory?page=5,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 16.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Chesterville/Countryman-Electric-Limited/442655.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management. Public source listing found; needs owner claim and service-area confirmation.",Dundas,North Dundas,Local town pin only
Long Sault Services,Electrical,Electricians & Electrical Contractors,Ingleside,"15592 Manning Rd RR 3, Ingleside, ON K0C 1M0",613-534-4181,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 24.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Ingleside/Long-Sault-Services/6459691.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Mackie Electric,Electrical,Electricians & Electrical Contractors,Winchester,"1341 Merkley Rd, Winchester, ON K0C 2K0",613-774-0594,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 32 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Winchester/Mackie-Electric/8227046.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
Raycroft Electric,Electrical,Electricians & Electrical Contractors,Johnstown,"57 Charlotte St, Johnstown, ON K0E 1T1",613-802-8884,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 28.6 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Johnstown/Raycroft-Electric/101242763.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Res Co Electric,Electrical,Electricians & Electrical Contractors,Cornwall,"1412 Jane St, Cornwall, ON K6J 1X3",613-937-0044,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 35 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Cornwall/Res-Co-Electric/6840721.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Scott Groves,Electrical,Electricians & Electrical Contractors,Ingleside,"15583 Manning Rd, Ingleside, ON K0C 1M0",613-534-2688,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Electricians/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 24.1 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Ingleside/Scott-Groves/6907791.html?what=Electricians&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Black Water Excavation,Excavation,Excavation Contractors,Mountain,"10269 Loughlin Ridge Rd, Mountain, ON K0E 1S0",613-558-2931,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Excavation+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Mountain/Black-Water-Excavation/101713535.html?what=Excavation+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
Cruickshank Construction Ltd,Excavation,Excavation Contractors; More&hellip;,Morrisburg,"Hwy 2, Morrisburg, ON K0C 1X0",613-543-3674,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Excavation+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 4.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Morrisburg/Cruickshank-Construction-Ltd/456070.html?what=Excavation+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,South Dundas,Local town pin only
Little Landscapes,Excavation,Excavation Contractors,Spencerville,"1622 Ventnor Rd, Spencerville, ON K0E 1X0",613-608-6603,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Excavation+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 27.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Spencerville/Little-Landscapes/100751926.html?what=Excavation+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Lloyd McMillan Equipment Ltd,Excavation,"Excavation Contractors; septic design; septic installation; sewer services; foundation preparation; backfilling; compaction; sand; stone; topsoil; equipment rental",Iroquois,"5733 Carman Rd, Iroquois, ON K0E 1K0",613-652-4649,lloyd@mcmillanequipment.com,https://www.mcmillanequipment.com,"Official website; BBB; South Nation Conservation septic directory; Morrisburg Leader; YellowPages.ca",https://www.mcmillanequipment.com,High,"Official website lists address, phone, email, excavation, septic, backfilling, compaction, sand, stone and topsoil services. South Nation Conservation septic directory confirms septic services and contact details. Morrisburg Leader reported the Iroquois-based business was named South Dundas Business of the Year in 2023. Owner claim still required for profile management.",Dundas,South Dundas,Local town pin only
West Front Construction Canada (LTD),Excavation,Excavation Contractors; More&hellip;,Cornwall,"16909 Cornwall Centre Road, Cornwall, ON K6H 5T2",613-703-0539,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/Excavation+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 34.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Cornwall/West-Front-Construction-Canada-LTD/1702373.html?what=Excavation+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Brownlee Construction,General Contractor,General Contractors,Ingleside,"4949 County Rd 14, Ingleside, ON K0C 1M0",613-360-2974,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 20.2 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Ingleside/Brownlee-Construction/7860515.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
Ewan St-Louis Construction Ltd,General Contractor,General Contractors,Ingleside,"30 Dale St, Ingleside, ON K0C 1M0",613-534-2712,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 26.4 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Ingleside/Ewan-St-Louis-Construction-Ltd/6202818.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Stormont,South Stormont,Local town pin only
GIJ Contracting Brite Span,General Contractor,General Contractors,Winchester,"1868 County Road 31, Winchester, ON K0C 2K0",613-229-6418,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 27.9 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Winchester/GIJ-Contracting-Brite-Span/101322570.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
H&B Contracting Inc,General Contractor,General Contractors,Chesterville,"13900 Connaught Rd, Chesterville, ON K0C 1H0",613-227-7788,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 27.5 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Chesterville/H-B-Contracting-Inc/100863821.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Dundas,North Dundas,Local town pin only
Jensen Contracting Co,General Contractor,General Contractors,Spencerville,"9007 County Road 44, Spencerville, ON K0E 1X0",613-858-1764,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 29.9 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Spencerville/Jensen-Contracting-Co/101744366.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
Lyndon Mcnab Construction Inc,General Contractor,General Contractors,Cardinal,"Shanly Rd, Cardinal, ON K0E 1E0",613-657-1103,,,YellowPages.ca,https://www.yellowpages.ca/search/si/1/General+Contractors/Morrisburg+ON,High,"YellowPages public search result; verify active status, exact service area, and owner permission before promotion. YP listed proximity from Morrisburg: 22.3 km. Listing detail: https://www.yellowpages.ca/bus/Ontario/Cardinal/Lyndon-Mcnab-Construction-Inc/7238565.html?what=General+Contractors&where=Morrisburg+ON&useContext=true Treated as source-verified public data for prototype database; owner claim still required for profile management.",Cornwall,Cornwall & Area,Serves Cornwall and surrounding townships
