business_name,category,town,local_area,address,phone,email,website,source_urls,google_business_seen,latest_google_review_date,review_recency_status,serves_sdg_evidence,confidence,add_status,notes
Chretien Excavation Inc.,Excavation,Lancaster,South Glengarry,"134 Military Road North, Lancaster, ON K0C 1N0",613-347-3726,chretienexcavation@gmail.com,,https://www.yellowpages.ca/bus/Ontario/Lancaster/Chretien-Excavation-Inc/5246539.html,Yes,,Not visible,YellowPages and Nation Conservation septic directory confirm local excavation/septic work.,High,Added to seed,No website found in this pass.
Gaucher Excavation,Excavation,Lancaster,South Glengarry,"30 Pine Street, Lancaster, ON K0C 1N0",613-347-3576,gaucher_excavation@hotmail.com,https://www.gaucherexcavation.com,https://www.nation.on.ca/sites/default/files/Online%20Septic%20Directory_Updated%20April%208%202025.pdf,Yes,,Not visible,Nation Conservation septic directory confirms local address/contact/category.,High,Added to seed,Website listed by source but not deeply reviewed in this batch.
John Warden Septic Inc.,Septic Services,Summerstown,South Glengarry,"19255 County Road 2, Summerstown, ON K0C 2E0",613-932-2813,,http://wardenjohnseptictank.ca,https://www.yellowpages.ca/search/si/1/Septic%2BTank%2BCleaning/South%2BGlengarry%2BON,Yes,,Not visible,YellowPages/MapQuest and Ontario ECA source confirm South Glengarry septic business.,High,Added to seed,Strong thin-category fit.
Rene Goulet Septic Pumping,Septic Services,Green Valley,South Glengarry,"20772 Concession Road 8, Green Valley, ON K0C 1L0",613-525-3759,,,https://www.yellowpages.ca/search/si/1/Septic%2BTank%2BCleaning/South%2BGlengarry%2BON,Yes,,Not visible,YellowPages confirms Green Valley septic-services listing.,High,Added to seed,Owner confirmation needed before promotion.
Neville HVAC/R Inc.,HVAC,Maxville,North Glengarry,,613-577-3727,info@nevillehvac.ca,https://www.nevillehvac.ca,https://www.nevillehvac.ca/about-us,Yes,,Not visible,Official website says North Glengarry business serving Stormont Dundas Glengarry and beyond.,High,Added to seed,Good current-looking HVAC row.
Iron Valley Constructions,General Contractor,Green Valley,South Glengarry,"4699 County Road 34, Green Valley, ON K0C 1L0",613-662-9278,info@ironvalleyconstructions.com,https://ironvalleyconstructions.com,https://ironvalleyconstructions.com,Yes,,Not visible,Official website names Green Valley address and SD&G/eastern Ontario service area.,High,Added to seed,Strong rural/agricultural-building fit.
J Wilkie & Son Construction,General Contractor,Dunvegan,North Glengarry,"19558 County Road 24, Dunvegan, ON K0C 1J0",613-307-0687,,https://www.jwilkieandson.ca,https://www.yellowpages.ca/bus/Ontario/Dunvegan/J-Wilkie-Son-Construction/8115121.html,Yes,,Not visible,YellowPages confirms Dunvegan construction/renovation listing with website.,High,Added to seed,Good North Glengarry contractor row.
AllPro Property Service,Home Repair,Dunvegan,North Glengarry,"19107 Murray Street, Dunvegan, ON K0C 1J0",613-577-6465,,https://allpropropertyservice0.godaddysites.com,https://www.yellowpages.ca/bus/Ontario/Dunvegan/AllPro-Property-Service/104583818.html,Yes,,Not visible,YellowPages/MapQuest confirm Dunvegan handyman/home-repair listing and website.,High,Added to seed,Useful side-gig/small-service style listing.
Houde Mechanical Inc.,HVAC,Cornwall,Cornwall & Area,"2905 Marleau Avenue, Cornwall, ON K6H 6G5",613-931-1103,sales@houdemechanical.com,https://houdemechanical.com,https://houdemechanical.com,Yes,,Not visible,Official website/Cornwall Chamber/TSSA confirm Cornwall HVAC/mechanical business.,High,Added to seed,Strong Cornwall-area HVAC row.
Guardian Fencing,General Contractor,Cornwall,Cornwall & Area,"736 York Street, Cornwall, ON K6J 4A4",613-407-0200,nick@guardian-fencing.ca,https://guardian-fencing.ca,https://guardian-fencing.ca,Yes,2025-11-26,Recent,Official website and BBB confirm Cornwall fencing company serving SD&G towns.,High,Added to seed,Google review date was used only as an activity signal; no review text imported.
The Clean Up Crew,Waste Removal,Cornwall,Cornwall & Area,"637 Adolphus Street, Cornwall, ON K6H 3T4",613-362-8670,thecleanupcrewcornwall@gmail.com,https://www.thecleanupcrew.info,https://www.thecleanupcrew.info,Yes,,Not visible,Official website and BBB confirm Cornwall junk-removal/light-demolition service area.,High,Added to seed,Good thin-category fit.
Red Robin Lawn and Garden,Pressure Washing,Cornwall area,Cornwall & Area,,613-930-5296,,https://redrobinlawns.com,https://redrobinlawns.com/window-cleaning-3/,Yes,,Not visible,Official website names Cornwall/Alexandria/Lancaster/Long Sault/Ingleside and SD&G service area.,High,Added to seed,Added under pressure washing/property maintenance.
Lefebvre Small Engine,Outdoor Power Equipment,Alexandria,North Glengarry,"3550 County Road 34, Alexandria, ON K0C 1A0",613-525-4705,,https://www.lefebvresmallengine.ca,https://www.lefebvresmallengine.ca/Locations,Yes,2026-03,Recent,Official website and Husqvarna dealer locator confirm Alexandria outdoor-power service location.,High,Added to seed,Google recency inferred from public business-review aggregator result only; no review text imported.
R & R Small Engine,Outdoor Power Equipment,Alexandria,North Glengarry,"3704 County Road 34, Alexandria, ON K0C 1A0",613-525-2700,,http://rrsmallengine.com,https://rrsmallengine.com/Contact-Us/,Yes,,Not visible,Official website and Briggs and Stratton dealer locator confirm Alexandria small-engine service/sales.,High,Added to seed,Good rural service category.
Claude's Small Engines Ltd.,Outdoor Power Equipment,Cornwall,Cornwall & Area,"203 Eleventh Street West, Cornwall, ON K6J 3B4",613-933-0275,claudessmallengines@hotmail.com,https://www.claudessmallengines.ca,https://www.claudessmallengines.ca/map-hours-directions-atvs-snowmobiles-dealership--hours,Yes,,Not visible,Official website and BBB confirm Cornwall small-engine/outdoor-power-equipment business.,High,Added to seed,Good Cornwall-area rural service category.
Adam Beehler Plumbing Inc,Plumbing,Ingleside,South Stormont,"15590 Manning Road, Ingleside, ON K0C 1R0",613-577-1112,adam@adambeehlerplumbing.com,https://www.adambeehlerplumbing.com,https://www.allbiz.ca/adam-beehler-plumbing-inc-613-577-1112,Yes,,Not visible,Public profile confirms South Stormont address and SD&G plumbing service area.,High,Added to seed,Added because South Stormont coverage was still light and evidence was clear.
One Call Plumbing & Gasfitting,Plumbing,Ingleside,South Stormont,"4967 County Road 14, Ingleside, ON K0C 1M0",613-307-4080,,,https://www.allbiz.ca/one-call-plumbing-gasfitting-613-307-4080,Yes,,Not visible,Public profile confirms South Stormont location and Ingleside/surrounding-area plumbing service.,High,Added to seed,Added because South Stormont coverage was still light and evidence was clear.
Flegg Equipment Ltd,Industrial Equipment,Newington,South Stormont,"3735 County Road 12, Newington, ON K0C 1Y0",613-984-2513,,,https://www.yellowpages.ca/bus/Ontario/Newington/Flegg-Equipment-Ltd/6901983.html,Not visible,,Not visible,YellowPages/Canpages confirm Newington address and phone; user locally verified fit for inclusion.,High,Added to seed,Added after local verification.
B Moore On Grade,Septic Services,Ingleside,South Stormont,"14366 Dafoe Road, Ingleside, ON K0C 1M0",613-795-3478,bmooreongrade@gmail.com,https://www.facebook.com/BMOOREONGRADE/,https://www.nation.on.ca/uploads/online-septic-directory-updated-feb-10-2026.pdf,Yes,,Not visible,Nation Conservation septic directory confirms Ingleside address/contact and septic designer/installer status; user locally verified Facebook page.,High,Added to seed,Added after local verification and stronger public directory evidence.
Carl Bulloch Construction,General Contractor,Long Sault,South Stormont,"17432 County Road 44, Long Sault, ON K0C 1P0",613-933-2934,cbulloch1@hotmail.com,,https://mbc.ca/wp-content/uploads/2019/12/Pages-from-19-001-Roxmore-Public-School-Additions_Interior-Renovations-PRE-Qualified-List.pdf,Not visible,,Not visible,Public procurement/prequalified-contractor list confirms location/contact; user locally verified fit for inclusion.,High,Added to seed,Added after local verification.
Rose Mech,Millwright,Long Sault,South Stormont,"2 Structured Products Drive, Long Sault, ON K0C 1P0",613-596-9500,office@rosemech.com,https://rosemech.com,https://rosemech.com/,Yes,,Not visible,Official website confirms Long Sault address/contact and ICI mechanical general contracting services; user locally verified fit for inclusion.,High,Added to seed,Replaced the weaker portfolio-PDF details with official website details.
613Environmental,Environmental Services,Kinburn,Cornwall & Area,"4402 Limestone Road, Kinburn, ON K0A 2H0",613-415-4075,info@613environmental.com,https://www.613environmental.com,https://www.613environmental.com/contact,Yes,,Not visible,Official contact page lists Stormont Dundas & Glengarry United Counties in service area; user locally verified fit for inclusion.,High,Added to seed,Added after service-area confirmation from official contact page.
Clearway Property Care,Home Repair,Long Sault,South Stormont,"Long Sault, ON K0C 1P0",613-219-6335,info@clearwaypropertycare.ca,https://clearwaypropertycare.ca,https://clearwaypropertycare.ca/,Yes,,Not visible,Official website confirms Long Sault base/contact and home maintenance/property care/lawn/snow services; user locally verified fit for inclusion.,High,Added to seed,Added after local verification and direct website check.
F & N Handy Men,Home Repair,Martintown,South Glengarry,"18002 North Branch Road, Martintown, ON K0C 1S0",519-995-2246,,,https://www.yellowpages.ca/bus/Ontario/Martintown/F-N-Handy-Men/102564175.html,Not visible,,Not visible,YellowPages direct listing confirms Martintown address/phone/property-maintenance category; user locally verified fit for inclusion.,High,Added to seed,Added after local verification and direct listing recheck.
